strategy,summary_runs,valid_runs,invalid_or_incomplete_summary,completion_rate_among_summaries,pooled_virtual_time_per_clear_s,virtual_time_s_mean,virtual_time_s_median,virtual_time_s_sd,virtual_time_s_min,virtual_time_s_max,mean_clear_time_s_mean,mean_clear_time_s_median,mean_clear_time_s_sd,mean_clear_time_s_min,mean_clear_time_s_max,cleared_mean,cleared_median,cleared_sd,cleared_min,cleared_max,distance_m_mean,distance_m_median,distance_m_sd,distance_m_min,distance_m_max,measurements_mean,measurements_median,measurements_sd,measurements_min,measurements_max,fallback_actions_mean,fallback_actions_median,fallback_actions_sd,fallback_actions_min,fallback_actions_max
adaptive_q10_dynamic,3,3,0,1.0,349.065221,4072.427579,3990.123949,219.22989666372501,3906.259998,4320.89879,352.54450347606837,360.0748991666667,42.35181173616861,306.93261146153844,390.6259998,11.666666666666666,12.0,1.5275252316519468,10.0,13.0,16932.137902866005,16670.61976777928,1154.0387818694999,15931.299997620728,18194.493943198006,107.0,106.0,6.557438524302,101.0,114.0,0.0,0.0,0.0,0.0,0.0
adaptive_q25,4,4,0,1.0,303.224036,4472.554532,4579.1482535,325.7953321143389,4000.408531,4731.51309,306.4145572302541,313.75249898214287,45.46027823563231,250.0255331875,348.1276977692308,14.75,15.0,1.5,13.0,16.0,19134.02266609885,19620.741270344857,1626.0365497985865,16887.04266070151,20407.565463004164,97.5,96.0,11.030261405182864,86.0,112.0,0.0,0.0,0.0,0.0,0.0
adaptive_q25_fine,3,3,0,1.0,390.503126,4555.8697993333335,4500.041133,342.3716168874658,4244.843586,4922.724679,392.719638501282,378.67112915384615,27.570112270525247,375.00342774999996,424.4843586,11.666666666666666,12.0,1.5275252316519468,10.0,13.0,19174.348992923184,18850.20566591629,1804.1752317297075,17554.21791979574,21118.623393057514,112.66666666666667,114.0,4.163331998932265,108.0,116.0,0.0,0.0,0.0,0.0,0.0
adaptive_q10_dynamic_fine,3,3,0,1.0,364.218979,4613.4403956666665,4717.913149,278.22113109107596,4298.105025,4824.303013,370.4657904047619,344.59307235714283,51.53429333153864,336.99379635714286,429.8105025,12.666666666666666,14.0,2.309401076758503,10.0,14.0,19428.868656177652,20059.56576212203,1646.2464880419673,17560.52513547197,20666.515070938953,114.33333333333333,110.0,10.214368964029708,107.0,126.0,0.0,0.0,0.0,0.0,0.0
adaptive_median,3,3,0,1.0,325.384614,4663.846127666667,4795.424254,361.8878687193218,4254.577477,4941.536652,326.2171783818681,327.2751905384615,16.867037011888918,308.84604075,342.5303038571428,14.333333333333334,14.0,1.5275252316519468,13.0,16.0,20109.2306406755,21002.121284930392,2144.185627425623,17662.887389175114,21662.683247920995,96.33333333333333,89.0,12.701705922171767,89.0,111.0,0.0,0.0,0.0,0.0,0.0
adaptive_q10,3,3,0,1.0,359.442171,5032.1903950000005,5192.176233,544.88613901574,4425.220908,5479.174044,360.69550589285717,368.768409,15.837365707663011,342.44837775,370.8697309285714,14.0,14.0,2.0,12.0,16.0,21535.95198894335,22600.881176349252,2681.0020623984506,18486.104542366607,23520.870248114195,113.33333333333333,115.0,7.637626158259733,105.0,120.0,0.0,0.0,0.0,0.0,0.0
adaptive_p90,3,3,0,1.0,337.834620,5180.130845,5340.952403,415.0619059354506,4708.723,5490.717132,339.6538694880952,343.16982075,43.70689910985295,294.2951875,381.4966002142857,15.333333333333334,16.0,1.1547005383792515,14.0,16.0,22750.65422414609,23319.762007408262,1830.1003377514478,20703.615014984447,24228.585650045552,94.0,96.0,10.14889156509222,83.0,103.0,0.0,0.0,0.0,0.0,0.0
adaptive,3,3,0,1.0,396.510856,5551.151989666667,5741.577244,359.64917254657365,5136.328358,5775.550367,398.61195685555555,385.0366911333333,25.49964726964337,382.7718162666667,428.02736316666665,14.0,15.0,1.7320508075688772,12.0,15.0,24815.759960235337,25957.88622370432,2180.3215728385635,22301.641795902433,26187.751861099252,88.33333333333333,81.0,13.576941236277534,80.0,104.0,0.0,0.0,0.0,0.0,0.0
