run,question,coverage,official_total_sources,omni,directional,cleared,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,exported_log_bytes,all_actions_accepted,max_time_error_s,policy_sha256,scenario_origin
q3-01,3,seven,15,15,0,15,5528.526364,368.5684242666667,0.6559999999999491,7,40622,True,1.8969349184772e-06,9a9bcab9db0413c95438c2d9fd6055d78a9f42f2fe7afb16e1d709132bd65a50,official_practice
q4-01,4,square,13,5,8,13,15268.630727,1174.5100559230768,2.5,49,179582,True,3.276298230048269e-06,9a9bcab9db0413c95438c2d9fd6055d78a9f42f2fe7afb16e1d709132bd65a50,official_practice
q3-02,3,seven,12,12,0,12,4875.064512,406.255376,0.6870000000001255,7,40837,True,1.9395620256545953e-06,9a9bcab9db0413c95438c2d9fd6055d78a9f42f2fe7afb16e1d709132bd65a50,official_practice
q3-03,3,seven,13,13,0,13,5144.380791,395.72159930769226,0.75,7,44647,True,1.6330873222614173e-06,9a9bcab9db0413c95438c2d9fd6055d78a9f42f2fe7afb16e1d709132bd65a50,official_practice
q4-02,4,triangular,14,1,13,14,14640.05906,1045.7185042857143,2.438000000000102,28,165871,True,1.560311829962302e-06,1bfb1359dcb486b4811d6962a28f83df101bd0e40e1e2b3a9c04569920dab3ec,official_practice
q4-03,4,triangular,10,2,8,10,10863.807953,1086.3807953,1.875,28,111083,True,4.1306348066427745e-06,1bfb1359dcb486b4811d6962a28f83df101bd0e40e1e2b3a9c04569920dab3ec,official_practice
q4-04,4,triangular,15,9,6,15,12756.240784,850.4160522666666,1.625,28,104262,True,2.77381968771806e-06,1bfb1359dcb486b4811d6962a28f83df101bd0e40e1e2b3a9c04569920dab3ec,official_practice
